model,mean_auroc,mean_auprc,mean_f1,mean_balanced_accuracy,mean_brier,mean_reg_mae_z
Logistic regression,0.6857731026785714,0.4663159923334007,0.422284844574859,0.6762544642857142,0.2676960624933663,
Random forest,0.6461309151785715,0.41302958190107975,0.24562633776378173,0.5919375,0.20983774236690084,
HistGradientBoosting,0.6731279575892857,0.35616132830033376,0.29420508293313635,0.5743035714285714,0.28382091168033063,
Student MLP only,0.7218251674107143,0.535799787372765,0.3432122622406391,0.6432991071428572,0.29390066592127173,3.26910662651062
+ missing mask,0.7013577566964285,0.46630458564793764,0.3505645089174626,0.6465758928571429,0.29662973466324744,3.3549561500549316
+ feature dropout,0.7267508370535715,0.510816372367817,0.3713637326668685,0.6545892857142857,0.29413719425135554,0.8287994265556335
+ teacher soft labels,0.7296558035714286,0.5106558152088609,0.3774812430028156,0.6563839285714286,0.2983046876210772,0.7684091329574585
Full ABPM-TSL,0.7296558035714286,0.5106558152088609,0.3774812430028156,0.6563839285714286,0.2983046876210772,0.7684091329574585
