teacher,ssl_pretraining,mean_auroc,mean_auprc,mean_f1,mean_balanced_accuracy,mean_brier,mean_reg_mae_z
cnn,False,0.6120325892857144,0.39728168765194294,0.13157538877620012,0.52796875,0.36833816096146693,0.6852368116378784
gru,False,0.6078416294642857,0.48618876998892774,0.17680223601796935,0.56809375,0.29296257565346256,0.6357671618461609
transformer,False,0.6329351004464285,0.36701172375027447,0.19136367488770234,0.5366294642857142,0.38986729066141473,0.7866730690002441
cnn_transformer,True,0.7069244419642857,0.5460880795470733,0.1895150720838794,0.5531696428571429,0.3305291017384455,0.6813883185386658
