input_group,mean_auroc,mean_auprc,mean_f1,mean_balanced_accuracy,mean_brier
Clinic only,0.5724416852678571,0.3572776675230123,0.1126833303415995,0.5644107142857142,0.2110250527642569
Clinic + demographics,0.6993381696428572,0.4449384667796982,0.3779086116077444,0.5881473214285714,0.23253761852655205
Clinic + morning,0.6477795758928572,0.42215375393994614,0.22178844565959324,0.5673303571428571,0.27978882455046233
Clinic + morning/evening,0.6701292410714286,0.4666063370309156,0.25795796578865027,0.5716249999999999,0.3048493722781515
Clinic + 3-day,0.5554504464285713,0.41347009739377094,0.18707628946255334,0.5360223214285714,0.2684356264485353
Clinic + 7-day,0.5692358258928572,0.44750600461116247,0.15225352576139123,0.5345892857142858,0.2720010413717567
All inputs,0.7296558035714286,0.5106558152088609,0.3774812430028156,0.6563839285714286,0.2983046876210772
