target,model,auroc,f1,balanced_accuracy,precision,recall_sensitivity,specificity
BP-Load,RandomForest,0.979619808116322,0.98567335243553,0.9764912698885644,0.9772727272727272,0.9942196531791908,0.9587628865979382
Circadian-Rythm,RandomForest,0.9906310444874276,0.9545454545454546,0.9347195357833656,0.9545454545454546,0.9545454545454546,0.9148936170212766
Morning-Surge,LogisticRegression,0.9409581255074816,0.6966292134831461,0.8738545412365155,0.5961538461538461,0.8378378378378378,0.9098712446351932
Pulse-Pressure,LogisticRegression,0.7320780399274047,0.8280871670702179,0.7369555353901995,0.9447513812154696,0.7370689655172413,0.7368421052631579
